,plot_id,lat,lon,invyr,TPA
90953,12_3083,45.169356,-96.070882,2017.0,441.99144314042894
138794,2_385,35.737578000000006,-85.58077800000001,2007.0,129.98161958721164
10241,1_597,33.344777,-87.24486800000001,2006.0,360.92989882638597
55458,6_8074,47.551848,-93.438063,2016.0,583.9397337110482
83375,4_3524,39.349176,-86.764071,2009.0,48.70939700526102
120328,2_3136,47.180719,-93.115466,2002.0,238.04401052205586
135027,5_3986,31.808575,-86.077996,2011.0,225.8666612707406
97022,2_3289,48.029590999999996,-90.00597900000001,2017.0,1395.5495637393772
116309,7_9180,35.684821,-76.83645200000001,2017.0,212.5769162282477
26562,8_4029,46.488834000000004,-88.259258,2008.0,161.64272764063134
15742,7_4504,37.945375,-78.454365,2016.0,347.42947551598536
11404,4_1641,36.48917,-80.359443,2004.0,392.8009662918411
123636,7_5569,37.692496000000006,-92.210982,2007.0,372.6858915418859
120167,2_3130,47.265078,-93.435549,2007.0,179.80341238365034
140733,2_2693,44.322068,-90.53867,2002.0,131.09401537838932
60565,6_8102,47.434915999999994,-94.046446,2016.0,288.5672363665683
116384,0_530,45.968876,-86.98743499999999,2010.0,135.06323755564543
123002,7_4061,39.099466,-82.65866899999999,2007.0,270.8175143666532
19934,0_1539,43.507742,-90.062119,2000.0,98.53118980169974
102110,0_2132,46.069912,-92.926762,2015.0,459.7111031970861
11179,5_7265,44.939144,-89.704437,2005.0,336.15384378794016
104705,8_6685,41.076138,-77.53888,2013.0,179.80341238365037
142156,7_4237,39.721025,-82.51607299999999,2012.0,270.8175143666532
103496,8_5547,38.768924,-92.851385,2013.0,594.6694746357173
142334,7_4725,38.220471999999994,-88.852737,2012.0,57.12820234722784
3289,6_9193,44.52857,-89.050659,2017.0,89.90170619182517
10375,5_6674,31.81421,-81.938172,2015.0,0.0
74404,6_6163,35.892663,-93.73576800000001,2016.0,184.67435208417646
21163,9_7387,29.437746999999998,-81.372632,2014.0,153.77592433437374
127792,6_9036,46.489306,-90.377349,2011.0,92.54785430999593
48654,10_10445,35.57526,-78.626263,2010.0,727.9283341286284
4366,6_7554,39.475716,-87.332169,2017.0,205.54967162375442
15206,5_6285,38.264601,-83.203758,2010.0,217.58217424517744
36744,0_2764,40.549276,-91.60267900000001,2010.0,151.90084823957915
108190,6_3706,44.686840000000004,-69.65809,2016.0,157.8841837312829
23045,9_9152,44.965167,-72.784397,2009.0,38.96751760420882
121743,5_4411,35.20928,-82.669969,2010.0,145.29176217225046
36907,5_4893,40.46225,-77.98398,2015.0,24.35469850263051
74896,5_8343,46.150648,-92.332358,2010.0,190.65768757588023
121111,6_4867,41.53017,-77.17035,2011.0,531.6824710643466
84836,10_11173,35.117961,-93.204938,2015.0,104.5145252934035
121948,5_5167,39.986779999999996,-79.43109,2005.0,218.56998303914105
51436,10_8237,43.868623,-71.141654,2016.0,81.48290084985837
81553,9_10054,41.750533000000004,-78.290363,2009.0,57.12820234722784
59461,10_10754,31.266471000000003,-91.29041099999999,2016.0,412.3576476378967
17837,11_7867,30.6535,-84.746785,2016.0,161.36462699024025
8229,1_1048,31.323635999999997,-86.784512,2013.0,340.12306596519625
80305,4_1253,34.264833,-80.913956,2014.0,271.4339140317644
107648,4_4139,43.191196000000005,-91.234721,2004.0,230.73760097126672
76995,6_5664,34.446553,-94.111396,2006.0,433.3619595305545
86344,3_4391,36.727232,-90.847999,2003.0,155.65939214892754
103318,8_5183,38.401109999999996,-86.226624,2013.0,379.51676409647234
98009,2_1234,32.838315,-80.227819,2002.0,0.0
103597,3_1156,33.115724,-80.382846,2013.0,507.2611221979357
123001,7_4061,39.099466,-82.65866899999999,2012.0,268.3820445163901
65381,3_2885,31.78885,-82.832026,2008.0,212.5769162282477
81909,9_10129,41.734012,-79.224487,2009.0,77.93503520841764
118774,3_2454,46.392075,-85.061339,2008.0,431.5585244840143
91818,1_2599,47.686747,-91.069634,2001.0,119.1273443949818
56168,5_5467,46.97184,-68.92820999999999,2005.0,161.64272764063134
87538,9_8965,44.925855,-71.115289,2009.0,230.73760097126672
46165,4_4408,36.637316999999996,-92.673025,2004.0,329.0581125050587
95178,11_8576,30.832566999999997,-87.447034,2016.0,267.48032699312006
100608,8_6099,45.710239,-70.09796800000001,2008.0,704.3901521651153
95730,8_7331,44.679552,-73.61636,2008.0,84.62130283024678
95687,0_883,38.650059999999996,-85.909798,2015.0,170.06153298259815
135438,2_3943,38.105866,-91.81733100000001,2007.0,161.01185603087418
63363,3_2985,32.550126,-81.578376,2003.0,202.39361636535054
99343,1_2894,47.81385,-94.877187,2011.0,221.2063998381222
10814,3_971,33.542608,-86.38467299999999,2015.0,197.96409712666937
72462,3_4720,33.321128,-79.678876,2008.0,160.53033184945363
121074,6_4860,41.51919,-76.83621,2006.0,53.58033670578715
60463,7_4316,37.997284,-78.281063,2016.0,319.03214741734973
97958,1_1558,30.699256,-83.515388,2016.0,414.51023553217294
8518,6_8544,38.377906,-93.948479,2011.0,262.18803075677863
141104,5_4274,31.122871000000004,-85.55694,2005.0,12.177349251315256
131242,5_4344,34.540724,-79.229667,2009.0,677.3893055443142
70159,6_5826,35.073584000000004,-93.360623,2011.0,164.07819749089438
7543,6_8668,45.413484999999994,-88.415254,2017.0,410.33033508700936
38318,5_8672,46.609571,-88.488062,2016.0,79.04743099959532
38256,5_3058,33.688117999999996,-79.456556,2005.0,111.82093484419265
41663,4_5293,41.981485,-93.89978599999999,2009.0,456.9019583042065
20276,11_8384,34.474469,-81.37786899999999,2011.0,524.3760615135574
111038,9_11024,32.929875,-81.942098,2014.0,289.18887737757984
28025,8_4555,44.352472999999996,-91.109687,2008.0,674.166712976978
102143,0_2122,46.3919,-92.82766600000001,2010.0,184.67435208417646
80644,9_11852,38.4578,-83.460424,2009.0,364.2670861999191
107367,6_3625,45.4847,-69.36307,2006.0,226.0773395386483
36621,5_5517,46.67243,-68.78471,2010.0,2542.4115200323713
90786,9_9699,37.725761,-82.20983100000001,2009.0,240.4794803723189
122675,6_3351,34.772759,-80.18560699999999,2011.0,21.919228652367458
104679,3_1838,44.620119,-83.805325,2013.0,585.052129502226
45096,0_2589,37.809065000000004,-92.950916,2010.0,174.93247268312427
27610,0_1279,31.569346999999997,-84.682068,2000.0,860.5299053014976
50365,6_8282,48.319235,-93.634096,2016.0,294.059817078106
99366,1_2824,47.85555,-95.326941,2016.0,329.0581125050587
88750,4_2206,33.164747999999996,-84.413409,2004.0,488.0546920275193
2038,7_6699,47.421611999999996,-95.33511700000001,2007.0,262.60938729259396
34609,5_5628,45.1581,-70.66548,2015.0,319.31623310400647
72889,9_10851,35.560235999999996,-87.234099,2009.0,76.61196114933226
56365,0_864,39.569979,-86.787869,2000.0,119.1273443949818
25306,0_2236,47.242856,-93.05279300000001,2005.0,462.37691946580344
37742,1_984,34.575731,-87.563784,2013.0,81.69290902349859
109444,9_11281,33.561915,-83.850531,2014.0,306.97113381056084
129098,7_8092,34.775116,-83.532084,2007.0,272.14058842573854
24280,0_2484,37.48324,-92.098252,2005.0,293.84913881019827
59675,7_7149,34.83934,-90.420865,2012.0,273.2529842169162
25606,8_4133,45.199294,-89.289137,2008.0,190.8683658437879
91645,1_2438,47.969632,-93.035854,2016.0,316.88076325374345
73726,6_3980,43.89967,-70.26691,2016.0,133.95084176446773
32915,1_2154,43.39098,-88.526002,2011.0,89.90170619182517
49012,9_8865,41.319384,-81.528979,2015.0,75.90960142154236
137610,2_229,35.214123,-88.527189,2012.0,418.7491404289762
138127,2_76,36.241445,-84.92905,2002.0,51.956690138945085
84952,10_11427,34.412043,-81.472381,2015.0,276.8008498583569
88410,4_2374,32.399566,-84.833168,2009.0,12.177349251315256
16160,1_3513,34.553137,-87.86636700000001,2013.0,311.3187842978549
43187,5_7328,43.793136,-90.719255,2005.0,80.56712603102379
110379,9_5643,45.767461,-89.565638,2009.0,307.8670968475642
72414,9_10926,35.114447,-82.249328,2014.0,527.2328878996357
79171,9_10318,41.521516999999996,-74.798879,2009.0,399.14186502493834
54725,9_12186,37.51662,-92.273636,2015.0,121.35213597733711
37261,5_4911,41.27724,-78.90082,2015.0,224.75426547956295
128035,6_6831,34.642281,-78.545709,2010.0,0.0
25395,0_1981,47.020736,-93.665479,2015.0,187.32050020234715
128477,2_1947,46.287095,-85.67082099999999,2012.0,323.0747770133549
28001,8_4821,44.417291,-90.098826,2008.0,503.7799069202753
17022,5_5200,40.17042,-78.31891999999999,2005.0,151.90084823957915
14738,5_7491,46.141606,-90.349176,2005.0,305.0963779066138
128702,7_9730,41.426165000000005,-84.036846,2012.0,1191.182587659598
74542,4_3665,44.268396,-87.743948,2009.0,29.81702915950627
131702,5_4727,34.809578,-78.473701,2005.0,284.1072594091461
130329,1_82,36.217984,-86.971327,2001.0,162.75512343180898
20887,9_6200,46.167395,-90.72808,2014.0,1283.9393071630916
137186,2_241,35.039499,-85.745553,2012.0,215.79086347568892
42398,1_1267,46.188858,-88.748747,2011.0,255.0922994738972
131360,6_9166,45.49419,-92.306072,2011.0,165.19059328207203
107189,6_3447,32.757245000000005,-81.064438,2011.0,188.64357426143246
67727,9_8374,35.469017,-92.54055600000001,2014.0,154.3363180898422
121691,5_5679,44.295359999999995,-69.22013000000001,2010.0,725.8880242816675
3618,6_7777,46.954912,-88.459078,2017.0,436.2187859166328
134921,1_3508,33.467016,-87.653131,2012.0,1758.4935758802087
46965,5_8067,48.342406,-93.941539,2005.0,422.71836260623223
25800,0_1165,32.379172,-83.784512,2000.0,227.4004135977336
139509,2_256,35.305458,-84.093994,2007.0,176.0448684743019
72658,6_5864,33.35791,-93.226613,2011.0,394.2946599172342
80476,4_1197,34.535399,-80.045165,2014.0,19.48375880210441
130327,1_82,36.217984,-86.971327,2011.0,172.4970028328612
33621,0_1520,42.669669,-88.230257,2010.0,187.10982193443954
50669,10_10507,30.388336,-89.145577,2016.0,52.25726264670173
117825,8_8620,36.640398,-88.294803,2013.0,189.54529178470256
86624,4_2974,44.3315,-69.12525,2004.0,291.315278206813
51827,6_7844,44.670215999999996,-83.75219799999999,2006.0,426.266228247673
86041,10_8647,44.182418,-76.28103,2010.0,280.34871549979766
122245,5_6201,36.95413,-87.815064,2010.0,16.25814319267725
59928,7_7125,34.10089,-92.14180999999999,2017.0,279.23631970862
106377,6_3586,33.499590000000005,-79.953399,2011.0,564.5319618072259
141787,7_4905,42.014567,-93.027781,2007.0,45.27358466503176
31508,5_2840,34.603817,-79.659915,2010.0,153.26970470793128
112218,4_296,36.477095,-87.497098,2014.0,267.26964872521245
63414,5_8399,46.36159,-93.37308,2005.0,182.23888223391342
5522,6_9165,45.66577,-92.286434,2017.0,393.49272440307567
19295,10_10318,30.973855,-86.86031700000001,2015.0,155.44871388101984
126500,6_7450,38.704271999999996,-89.022634,2006.0,212.5769162282477
10734,3_935,33.073369,-88.02556700000001,2008.0,506.63673330635356
40201,5_3287,37.028989,-80.752648,2005.0,142.84287707245957
30016,9_7171,36.541761,-90.779114,2014.0,230.73760097126672
109587,4_4484,38.507627,-91.499933,2004.0,176.25554674220962
22364,9_6305,46.111518,-84.407466,2014.0,455.281188182922
22847,10_8080,42.503481,-83.557573,2010.0,74.97355665188162
48831,9_9907,40.295840999999996,-77.271017,2009.0,33.816811422782045
123437,6_7089,38.44039,-85.005934,2011.0,56.85368777970358
90576,10_8269,40.360394,-74.276618,2010.0,329.2687907729663
77325,1_1108,44.634240999999996,-83.67654399999999,2001.0,348.5418713071631
91279,1_2510,48.912746000000006,-96.628327,2016.0,201.06971421149092
