,plot_id,lat,lon,invyr,TPA,FIPS,SQMI,final_pdsi,final_pop,poparea
0,12_3083,45.169356,-96.070882,2017.0,441.99144314042894,27151,752.21,0.6166666150093079,9396.0,12.491192
1,2_385,35.737578000000006,-85.58077800000001,2007.0,129.98161958721164,47175,274.5,-1.8200000524520874,5480.0,19.96357
2,1_597,33.344777,-87.24486800000001,2006.0,360.92989882638597,1125,1351.15,3.183333396911621,181383.0,134.24342
3,6_8074,47.551848,-93.438063,2016.0,583.9397337110482,27061,2927.92,0.9100000262260437,45164.0,15.425285
4,4_3524,39.349176,-86.764071,2009.0,48.70939700526102,18119,387.77,4.063333034515381,21642.0,55.811436
5,2_3136,47.180719,-93.115466,2002.0,238.04401052205586,27061,2927.92,-0.18333333730697632,43882.0,14.987432
6,5_3986,31.808575,-86.077996,2011.0,225.8666612707406,1109,673.12,-1.9733333587646484,33017.0,49.05069
7,2_3289,48.029590999999996,-90.00597900000001,2017.0,1395.5495637393772,27031,1605.75,2.9200000762939453,5384.0,3.3529503
8,7_9180,35.684821,-76.83645200000001,2017.0,212.5769162282477,37013,834.58,2.6466665267944336,47051.0,56.376858
9,8_4029,46.488834000000004,-88.259258,2008.0,161.64272764063134,26013,917.44,-4.643333435058594,8822.0,9.615888
10,7_4504,37.945375,-78.454365,2016.0,347.42947551598536,51003,726.1,0.44333332777023315,106408.0,146.54732
11,4_1641,36.48917,-80.359443,2004.0,392.8009662918411,37169,455.72,5.1566667556762695,45772.0,100.438866
12,7_5569,37.692496000000006,-92.210982,2007.0,372.6858915418859,29169,551.46,-0.3333333134651184,47357.0,85.87567
13,2_3130,47.265078,-93.435549,2007.0,179.80341238365034,27061,2927.92,-2.75,44809.0,15.304039
14,2_2693,44.322068,-90.53867,2002.0,131.09401537838932,55053,1000.24,2.4766666889190674,19374.0,19.369352
15,6_8102,47.434915999999994,-94.046446,2016.0,288.5672363665683,27061,2927.92,0.9100000262260437,45164.0,15.425285
16,0_530,45.968876,-86.98743499999999,2010.0,135.06323755564543,26041,1179.49,0.14666667580604553,37069.0,31.42799
17,7_4061,39.099466,-82.65866899999999,2007.0,270.8175143666532,39079,421.6,-2.7933332920074463,33144.0,78.6148
18,0_1539,43.507742,-90.062119,2000.0,98.53118980169974,55111,848.5,2.253333330154419,55348.0,65.23041
19,0_2132,46.069912,-92.926762,2015.0,459.7111031970861,27115,1434.46,3.3966667652130127,29042.0,20.245947
20,5_7265,44.939144,-89.704437,2005.0,336.15384378794016,55073,1576.39,-0.6933333277702332,128958.0,81.8059
21,8_6685,41.076138,-77.53888,2013.0,179.80341238365037,42035,897.16,-1.5700000524520874,39817.0,44.38116
22,7_4237,39.721025,-82.51607299999999,2012.0,270.8175143666532,39045,508.7,2.6133334636688232,147279.0,289.52032
23,8_5547,38.768924,-92.851385,2013.0,594.6694746357173,29053,569.07,-2.683333396911621,17610.0,30.945227
24,7_4725,38.220471999999994,-88.852737,2012.0,57.12820234722784,17081,583.78,4.146666526794434,38658.0,66.220146
25,6_9193,44.52857,-89.050659,2017.0,89.90170619182517,55135,765.24,3.0999999046325684,51153.0,66.845695
26,5_6674,31.81421,-81.938172,2015.0,0.0,13183,403.44,-1.2300000190734863,17646.0,43.738846
27,6_6163,35.892663,-93.73576800000001,2016.0,184.67435208417646,5087,836.94,2.3933334350585938,16112.0,19.251081
28,9_7387,29.437746999999998,-81.372632,2014.0,153.77592433437374,12035,505.08,1.8366667032241821,101922.0,201.79378
29,6_9036,46.489306,-90.377349,2011.0,92.54785430999593,55051,802.71,2.056666612625122,5958.0,7.4223566
30,10_10445,35.57526,-78.626263,2010.0,727.9283341286284,37101,795.62,-2.073333263397217,168878.0,212.25963
31,6_7554,39.475716,-87.332169,2017.0,205.54967162375442,18167,410.39,1.7799999713897705,107681.0,262.387
32,5_6285,38.264601,-83.203758,2010.0,217.58217424517744,21043,412.13,2.0999999046325684,27720.0,67.26033
33,0_2764,40.549276,-91.60267900000001,2010.0,151.90084823957915,19111,538.82,5.4666666984558105,35862.0,66.55655
34,6_3706,44.686840000000004,-69.65809,2016.0,157.8841837312829,23025,4094.53,1.0366666316986084,50564.0,12.349158
35,9_9152,44.965167,-72.784397,2009.0,38.96751760420882,50011,692.35,3.799999952316284,47620.0,68.78024
36,5_4411,35.20928,-82.669969,2010.0,145.29176217225046,37175,380.51,1.0433332920074463,33090.0,86.962234
37,5_4893,40.46225,-77.98398,2015.0,24.35469850263051,42061,889.06,1.2166666984558105,45485.0,51.160778
38,5_8343,46.150648,-92.332358,2010.0,190.65768757588023,27115,1434.46,-1.6699999570846558,29750.0,20.739511
39,6_4867,41.53017,-77.17035,2011.0,531.6824710643466,42081,1243.74,-2.1500000953674316,116742.0,93.86367
40,10_11173,35.117961,-93.204938,2015.0,104.5145252934035,5149,948.75,1.56333327293396,21513.0,22.675098
41,5_5167,39.986779999999996,-79.43109,2005.0,218.56998303914105,42051,798.34,4.309999942779541,142447.0,178.42899
42,10_8237,43.868623,-71.141654,2016.0,81.48290084985837,33003,992.3,0.7866666913032532,47493.0,47.861534
43,9_10054,41.750533000000004,-78.290363,2009.0,57.12820234722784,42083,984.23,2.0933332443237305,43701.0,44.401207
44,10_10754,31.266471000000003,-91.29041099999999,2016.0,412.3576476378967,28157,687.61,-0.6766666769981384,9024.0,13.123718
45,11_7867,30.6535,-84.746785,2016.0,161.36462699024025,12039,528.5,-2.1466667652130127,46051.0,87.13529
46,1_1048,31.323635999999997,-86.784512,2013.0,340.12306596519625,1035,852.71,0.5433333516120911,12911.0,15.141138
